time_sec,source_frame_30fps,rally_id,player_a_track_id,player_a_x_m,player_a_y_m,player_a_vx_mps,player_a_vy_mps,player_a_speed_mps,player_a_accel_mps2,player_a_orientation_deg,player_a_zone,player_a_phase,player_a_tracking_status,player_a_confidence,player_a_pose_quality,player_b_track_id,player_b_x_m,player_b_y_m,player_b_vx_mps,player_b_vy_mps,player_b_speed_mps,player_b_accel_mps2,player_b_orientation_deg,player_b_zone,player_b_phase,player_b_tracking_status,player_b_confidence,player_b_pose_quality
1.70,51,1,p_a,4.67,11.97,1.19,1.26,1.73,9.79,46.6,rear_right,move,detected,0.95,0.93,p_b,2.99,3.23,0.35,-1.26,1.31,7.38,285.5,mid_center,move,detected,0.91,0.88
1.80,54,1,p_a,4.70,12.00,0.30,0.33,0.45,12.85,47.0,rear_right,stroke,detected,0.95,0.93,p_b,3.00,3.20,0.08,-0.36,0.37,9.39,282.0,mid_center,move,detected,0.91,0.88
1.90,57,1,p_a,4.64,11.95,-0.58,-0.46,0.74,11.83,218.7,rear_right,move,detected,0.95,0.93,p_b,2.94,3.13,-0.58,-0.66,0.87,7.19,228.6,mid_center,move,detected,0.91,0.88
2.00,60,1,p_a,4.51,11.85,-1.26,-1.01,1.62,8.76,218.7,rear_right,move,detected,0.95,0.93,p_b,2.81,2.99,-1.26,-1.43,1.91,10.34,228.6,mid_center,move,detected,0.91,0.88
2.10,63,1,p_a,4.34,11.71,-1.77,-1.41,2.26,6.45,218.7,rear_right,move,detected,0.95,0.93,p_b,2.64,2.79,-1.77,-2.00,2.67,7.62,228.6,mid_center,move,detected,0.91,0.88
2.20,66,1,p_a,4.13,11.54,-2.09,-1.67,2.68,4.15,218.7,rear_right,move,predicted,0.72,0.68,p_b,2.43,2.55,-2.09,-2.37,3.16,4.90,228.6,rear_center,lunge_or_recover,detected,0.91,0.88
2.30,69,1,p_a,3.91,11.36,-2.23,-1.79,2.86,1.84,218.7,rear_center,lunge_or_recover,predicted,0.72,0.68,p_b,2.21,2.30,-2.23,-2.53,3.38,2.18,228.6,rear_center,lunge_or_recover,detected,0.91,0.88
2.40,72,1,p_a,3.69,11.19,-2.20,-1.76,2.82,0.46,218.7,rear_center,lunge_or_recover,detected,0.95,0.93,p_b,1.99,2.05,-2.20,-2.49,3.32,0.54,228.6,rear_left,lunge_or_recover,detected,0.91,0.88
2.50,75,1,p_a,3.49,11.03,-1.98,-1.59,2.54,2.77,218.7,rear_center,move,detected,0.95,0.93,p_b,1.79,1.83,-1.98,-2.25,3.00,3.26,228.6,rear_left,lunge_or_recover,detected,0.91,0.88
2.60,78,1,p_a,3.33,10.90,-1.59,-1.27,2.03,5.07,218.7,rear_center,move,detected,0.95,0.93,p_b,1.63,1.65,-1.59,-1.80,2.40,5.99,228.6,rear_left,move,detected,0.91,0.88
2.70,81,1,p_a,3.23,10.82,-1.01,-0.81,1.29,7.38,218.7,rear_center,move,detected,0.95,0.93,p_b,1.53,1.53,-1.01,-1.15,1.53,8.71,228.6,rear_left,move,detected,0.91,0.88
2.80,84,1,p_a,3.20,10.79,-0.25,-0.28,0.37,9.25,227.3,mid_center,move,detected,0.95,0.93,p_b,1.50,1.50,-0.24,-0.28,0.37,11.58,228.4,rear_left,stroke,detected,0.91,0.88
2.90,87,1,p_a,3.26,10.61,0.59,-1.83,1.92,17.65,287.9,mid_center,move,detected,0.95,0.93,p_b,1.59,1.61,0.88,1.06,1.38,17.49,50.2,rear_left,move,detected,0.91,0.88
3.00,90,1,p_a,3.39,10.23,1.25,-3.86,4.06,21.38,287.9,mid_center,lunge_or_recover,detected,0.95,0.93,p_b,1.78,1.83,1.87,2.24,2.92,15.38,50.2,rear_left,lunge_or_recover,detected,0.91,0.88
3.10,93,1,p_a,3.55,9.71,1.67,-5.17,5.43,13.74,287.9,mid_center,sprint,detected,0.95,0.93,p_b,2.03,2.13,2.50,3.00,3.91,9.88,50.2,rear_left,lunge_or_recover,detected,0.91,0.88
3.20,96,1,p_a,3.74,9.13,1.85,-5.75,6.04,6.11,287.9,mid_center,sprint,detected,0.95,0.93,p_b,2.31,2.47,2.78,3.34,4.35,4.39,50.2,rear_center,lunge_or_recover,detected,0.91,0.88
3.30,99,1,p_a,3.92,8.57,1.81,-5.60,5.89,1.53,287.9,front_center,sprint,detected,0.95,0.93,p_b,2.58,2.79,2.71,3.25,4.24,1.10,50.2,mid_center,lunge_or_recover,detected,0.91,0.88
3.40,102,1,p_a,4.07,8.10,1.53,-4.73,4.97,9.16,287.9,front_right,sprint,detected,0.95,0.93,p_b,2.81,3.07,2.29,2.75,3.58,6.59,50.2,mid_center,lunge_or_recover,detected,0.91,0.88
3.50,105,1,p_a,4.17,7.79,1.01,-3.13,3.29,16.80,287.9,front_right,lunge_or_recover,detected,0.95,0.93,p_b,2.96,3.25,1.52,1.82,2.37,12.08,50.2,mid_center,move,detected,0.91,0.88
3.60,108,1,p_a,4.20,7.70,0.27,-0.85,0.89,24.04,287.6,front_right,stroke,detected,0.95,0.93,p_b,3.00,3.30,0.44,0.49,0.66,17.14,48.1,mid_center,move,detected,0.91,0.88
3.70,111,1,p_a,4.16,7.77,-0.35,0.67,0.76,16.44,117.6,front_right,move,detected,0.95,0.93,p_b,3.06,3.24,0.58,-0.55,0.80,10.43,316.6,mid_center,move,detected,0.91,0.88
3.80,114,1,p_a,4.09,7.92,-0.78,1.49,1.68,9.19,117.6,front_right,move,detected,0.95,0.93,p_b,3.19,3.12,1.28,-1.21,1.76,9.60,316.6,mid_center,move,detected,0.91,0.88
3.90,117,1,p_a,3.97,8.13,-1.11,2.11,2.39,7.05,117.6,front_center,move,detected,0.95,0.93,p_b,3.37,2.95,1.81,-1.71,2.49,7.37,316.6,mid_center,move,detected,0.91,0.88
4.00,120,1,p_a,3.84,8.38,-1.34,2.55,2.88,4.92,117.6,front_center,lunge_or_recover,detected,0.95,0.93,p_b,3.59,2.75,2.18,-2.06,3.01,5.13,316.6,mid_center,lunge_or_recover,detected,0.91,0.88
4.10,123,1,p_a,3.69,8.66,-1.46,2.80,3.16,2.78,117.6,front_center,lunge_or_recover,detected,0.95,0.93,p_b,3.83,2.52,2.40,-2.26,3.30,2.90,316.6,rear_center,lunge_or_recover,detected,0.91,0.88
4.20,126,1,p_a,3.55,8.95,-1.49,2.85,3.22,0.64,117.6,mid_center,lunge_or_recover,detected,0.95,0.93,p_b,4.07,2.29,2.44,-2.31,3.36,0.67,316.6,rear_right,lunge_or_recover,detected,0.91,0.88
4.30,129,1,p_a,3.40,9.22,-1.42,2.72,3.07,1.50,117.6,mid_center,lunge_or_recover,detected,0.95,0.93,p_b,4.30,2.07,2.33,-2.20,3.21,1.56,316.6,rear_right,lunge_or_recover,detected,0.91,0.88
4.40,132,1,p_a,3.28,9.46,-1.26,2.40,2.71,3.63,117.6,mid_center,move,detected,0.95,0.93,p_b,4.51,1.87,2.06,-1.94,2.83,3.79,316.6,rear_right,lunge_or_recover,detected,0.91,0.88
4.50,135,1,p_a,3.18,9.65,-0.99,1.89,2.13,5.77,117.6,mid_center,move,detected,0.95,0.93,p_b,4.67,1.72,1.62,-1.53,2.22,6.03,316.6,rear_right,move,detected,0.91,0.88
4.60,138,1,p_a,3.12,9.77,-0.62,1.19,1.34,7.91,117.6,mid_center,move,detected,0.95,0.93,p_b,4.77,1.63,1.02,-0.96,1.40,8.26,316.6,rear_right,move,detected,0.91,0.88
4.70,141,1,p_a,3.10,9.80,-0.21,0.30,0.37,9.71,124.8,mid_center,move,detected,0.95,0.93,p_b,4.80,1.60,0.22,-0.21,0.31,10.91,316.6,rear_right,stroke,detected,0.91,0.88
4.80,144,1,p_a,2.95,9.76,-1.42,-0.38,1.47,13.90,194.9,mid_center,move,detected,0.95,0.93,p_b,4.64,1.75,-1.52,1.42,2.08,23.87,136.8,rear_right,move,detected,0.91,0.88
4.90,147,1,p_a,2.67,9.68,-2.86,-0.76,2.96,14.85,194.9,mid_center,lunge_or_recover,detected,0.95,0.93,p_b,4.34,2.03,-3.05,2.86,4.18,20.98,136.8,rear_right,lunge_or_recover,predicted,0.72,0.68
5.00,150,1,p_a,2.31,9.59,-3.54,-0.94,3.66,7.03,194.9,mid_center,lunge_or_recover,detected,0.95,0.93,p_b,3.96,2.39,-3.77,3.54,5.17,9.94,136.8,rear_center,sprint,predicted,0.72,0.68
5.10,153,1,p_a,1.97,9.50,-3.46,-0.92,3.58,0.78,194.9,mid_left,lunge_or_recover,detected,0.95,0.93,p_b,3.59,2.73,-3.69,3.46,5.06,1.10,136.8,mid_center,sprint,detected,0.91,0.88
5.20,156,1,p_a,1.70,9.43,-2.63,-0.70,2.72,8.60,194.9,mid_left,move,detected,0.95,0.93,p_b,3.31,3.00,-2.81,2.63,3.85,12.15,136.8,mid_center,lunge_or_recover,detected,0.91,0.88
5.30,159,1,p_a,1.60,9.40,-1.04,-0.28,1.08,16.41,194.9,mid_left,stroke,detected,0.95,0.93,p_b,3.20,3.10,-1.11,1.04,1.53,23.19,136.8,mid_center,move,detected,0.91,0.88
5.40,162,1,p_a,1.67,9.32,0.70,-0.82,1.08,18.29,310.6,mid_left,move,detected,0.95,0.93,p_b,3.13,3.22,-0.70,1.23,1.42,4.51,119.7,mid_center,move,detected,0.91,0.88
5.50,165,1,p_a,1.85,9.11,1.80,-2.10,2.77,16.89,310.6,mid_left,move,detected,0.95,0.93,p_b,2.95,3.54,-1.80,3.15,3.63,22.15,119.7,mid_center,lunge_or_recover,detected,0.91,0.88
5.60,168,1,p_a,2.09,8.82,2.44,-2.85,3.75,9.85,310.6,mid_center,lunge_or_recover,detected,0.95,0.93,p_b,2.71,3.97,-2.44,4.27,4.92,12.92,119.7,mid_center,sprint,detected,0.91,0.88
5.70,171,1,p_a,2.36,8.52,2.63,-3.06,4.03,2.81,310.6,front_center,lunge_or_recover,detected,0.95,0.93,p_b,2.44,4.43,-2.63,4.59,5.29,3.69,119.7,mid_center,sprint,detected,0.91,0.88
5.80,174,1,p_a,2.59,8.24,2.35,-2.74,3.61,4.22,310.6,front_center,lunge_or_recover,detected,0.95,0.93,p_b,2.21,4.84,-2.35,4.11,4.74,5.54,119.7,front_center,sprint,detected,0.91,0.88
5.90,177,1,p_a,2.75,8.05,1.62,-1.89,2.49,11.26,310.6,front_center,move,detected,0.95,0.93,p_b,2.05,5.12,-1.62,2.83,3.26,14.77,119.7,front_center,lunge_or_recover,detected,0.91,0.88
6.00,180,1,p_a,2.80,8.00,0.48,-0.50,0.69,17.98,314.0,front_center,move,detected,0.95,0.93,p_b,2.00,5.20,-0.45,0.79,0.90,23.57,119.7,front_left,stroke,detected,0.91,0.88
6.10,183,1,p_a,2.87,8.13,0.67,1.29,1.45,17.92,62.3,front_center,move,detected,0.95,0.93,p_b,2.04,5.14,0.35,-0.58,0.68,15.82,301.4,front_center,move,detected,0.91,0.88
6.20,186,1,p_a,3.02,8.42,1.49,2.84,3.20,17.51,62.3,front_center,lunge_or_recover,detected,0.95,0.93,p_b,2.11,5.01,0.78,-1.28,1.50,8.18,301.4,front_center,move,detected,0.91,0.88
6.30,189,1,p_a,3.23,8.82,2.11,4.03,4.55,13.44,62.3,mid_center,sprint,detected,0.95,0.93,p_b,2.23,4.83,1.11,-1.81,2.12,6.28,301.4,front_center,move,detected,0.91,0.88
6.40,192,1,p_a,3.48,9.30,2.55,4.86,5.48,9.37,62.3,mid_center,sprint,detected,0.95,0.93,p_b,2.36,4.61,1.34,-2.18,2.56,4.37,301.4,front_center,move,detected,0.91,0.88
6.50,195,1,p_a,3.76,9.84,2.80,5.32,6.01,5.30,62.3,mid_center,sprint,detected,0.95,0.93,p_b,2.51,4.37,1.46,-2.40,2.81,2.47,301.4,mid_center,lunge_or_recover,detected,0.91,0.88
6.60,198,1,p_a,4.05,10.38,2.85,5.43,6.14,1.22,62.3,mid_center,sprint,detected,0.95,0.93,p_b,2.65,4.13,1.49,-2.44,2.86,0.57,301.4,mid_center,lunge_or_recover,detected,0.91,0.88
6.70,201,1,p_a,4.32,10.90,2.72,5.18,5.85,2.85,62.3,rear_right,sprint,detected,0.95,0.93,p_b,2.80,3.90,1.42,-2.33,2.73,1.33,301.4,mid_center,move,detected,0.91,0.88
6.80,204,1,p_a,4.56,11.35,2.40,4.57,5.16,6.92,62.3,rear_right,sprint,detected,0.95,0.93,p_b,2.92,3.69,1.26,-2.06,2.41,3.23,301.4,mid_center,move,detected,0.91,0.88
6.90,207,1,p_a,4.75,11.71,1.89,3.59,4.06,11.00,62.3,rear_right,lunge_or_recover,predicted,0.72,0.68,p_b,3.02,3.53,0.99,-1.62,1.89,5.14,301.4,mid_center,move,detected,0.91,0.88
7.00,210,1,p_a,4.87,11.94,1.19,2.26,2.55,15.07,62.3,rear_right,move,detected,0.95,0.93,p_b,3.08,3.43,0.62,-1.02,1.19,7.04,301.4,mid_center,move,detected,0.91,0.88
7.10,213,1,p_a,4.90,12.00,0.30,0.58,0.66,18.96,63.0,rear_right,stroke,detected,0.95,0.93,p_b,3.10,3.40,0.15,-0.29,0.33,8.65,296.3,mid_center,ready,detected,0.91,0.88
7.20,216,1,p_a,4.83,11.93,-0.64,-0.64,0.91,15.47,225.0,rear_right,move,detected,0.95,0.93,p_b,3.03,3.33,-0.68,-0.72,0.99,9.27,226.5,mid_center,move,detected,0.91,0.88
7.30,219,1,p_a,4.69,11.79,-1.41,-1.41,2.00,10.86,225.0,rear_right,move,detected,0.95,0.93,p_b,2.88,3.17,-1.49,-1.57,2.16,11.77,226.5,mid_center,move,detected,0.91,0.88
7.40,222,1,p_a,4.49,11.59,-1.99,-1.99,2.81,8.15,225.0,rear_right,lunge_or_recover,detected,0.95,0.93,p_b,2.67,2.95,-2.10,-2.21,3.05,8.83,226.5,mid_center,lunge_or_recover,detected,0.91,0.88
7.50,225,1,p_a,4.26,11.36,-2.37,-2.37,3.35,5.43,225.0,rear_right,lunge_or_recover,detected,0.95,0.93,p_b,2.42,2.68,-2.50,-2.64,3.64,5.89,226.5,mid_center,lunge_or_recover,detected,0.91,0.88
7.60,228,1,p_a,4.00,11.10,-2.56,-2.56,3.63,2.72,225.0,rear_center,lunge_or_recover,detected,0.95,0.93,p_b,2.15,2.40,-2.71,-2.85,3.93,2.94,226.5,rear_center,lunge_or_recover,detected,0.91,0.88
7.70,231,1,p_a,3.74,10.84,-2.56,-2.56,3.63,0.00,225.0,rear_center,lunge_or_recover,detected,0.95,0.93,p_b,1.88,2.12,-2.71,-2.85,3.93,0.00,226.5,rear_left,lunge_or_recover,detected,0.91,0.88
7.80,234,1,p_a,3.51,10.61,-2.37,-2.37,3.35,2.72,225.0,mid_center,lunge_or_recover,detected,0.95,0.93,p_b,1.63,1.85,-2.50,-2.64,3.64,2.94,226.5,rear_left,lunge_or_recover,detected,0.91,0.88
7.90,237,1,p_a,3.31,10.41,-1.99,-1.99,2.81,5.43,225.0,mid_center,lunge_or_recover,detected,0.95,0.93,p_b,1.42,1.63,-2.10,-2.21,3.05,5.89,226.5,rear_left,lunge_or_recover,detected,0.91,0.88
8.00,240,1,p_a,3.17,10.27,-1.41,-1.41,2.00,8.15,225.0,mid_center,move,detected,0.95,0.93,p_b,1.27,1.47,-1.49,-1.57,2.16,8.83,226.5,rear_left,move,detected,0.91,0.88
8.10,243,1,p_a,3.10,10.20,-0.64,-0.64,0.91,10.86,225.0,mid_center,move,detected,0.95,0.93,p_b,1.20,1.40,-0.68,-0.72,0.99,11.77,226.5,rear_left,stroke,predicted,0.72,0.68
8.20,246,1,p_a,3.11,10.19,0.11,-0.11,0.16,9.27,316.3,mid_center,ready,detected,0.95,0.93,p_b,1.28,1.47,0.82,0.69,1.07,20.53,39.9,rear_left,move,detected,0.91,0.88
8.30,249,1,p_a,3.16,10.16,0.46,-0.31,0.56,4.02,326.3,mid_center,move,detected,0.95,0.93,p_b,1.58,1.72,2.93,2.46,3.82,27.55,40.1,rear_left,lunge_or_recover,detected,0.91,0.88
8.40,252,1,p_a,3.23,10.12,0.66,-0.44,0.79,2.34,326.3,mid_center,move,detected,0.95,0.93,p_b,1.99,2.07,4.16,3.50,5.43,16.09,40.1,rear_left,sprint,detected,0.91,0.88
8.50,255,1,p_a,3.30,10.07,0.71,-0.47,0.85,0.61,326.3,mid_center,move,detected,0.95,0.93,p_b,2.44,2.44,4.48,3.77,5.85,4.17,40.1,rear_center,sprint,detected,0.91,0.88
8.60,258,1,p_a,3.36,10.03,0.61,-0.41,0.74,1.12,326.3,mid_center,move,detected,0.95,0.93,p_b,2.83,2.77,3.88,3.27,5.08,7.75,40.1,mid_center,sprint,detected,0.91,0.88
8.70,261,1,p_a,3.39,10.00,0.38,-0.25,0.45,2.86,326.3,mid_center,stroke,detected,0.95,0.93,p_b,3.07,2.97,2.38,2.00,3.11,19.67,40.1,mid_center,lunge_or_recover,detected,0.91,0.88
8.80,264,1,p_a,3.40,10.00,0.03,-0.08,0.09,3.87,270.0,mid_center,stroke,detected,0.95,0.93,p_b,3.11,2.99,0.47,0.16,0.50,26.51,19.1,mid_center,move,detected,0.91,0.88
8.90,267,1,p_a,3.38,9.96,-0.20,-0.35,0.41,3.54,240.3,mid_center,move,detected,0.95,0.93,p_b,3.21,2.90,0.96,-0.91,1.32,11.81,316.5,mid_center,move,detected,0.91,0.88
9.00,270,1,p_a,3.34,9.90,-0.36,-0.63,0.73,3.23,240.3,mid_center,move,detected,0.95,0.93,p_b,3.38,2.73,1.72,-1.63,2.37,10.49,316.5,mid_center,move,detected,0.91,0.88
9.10,273,1,p_a,3.29,9.81,-0.48,-0.84,0.97,2.35,240.3,mid_center,move,detected,0.95,0.93,p_b,3.61,2.52,2.28,-2.16,3.14,7.62,316.5,rear_center,lunge_or_recover,detected,0.91,0.88
9.20,276,1,p_a,3.24,9.72,-0.55,-0.97,1.11,1.46,240.3,mid_center,move,detected,0.95,0.93,p_b,3.87,2.27,2.62,-2.48,3.61,4.74,316.5,rear_center,lunge_or_recover,detected,0.91,0.88
9.30,279,1,p_a,3.18,9.61,-0.58,-1.02,1.17,0.58,240.3,mid_center,move,detected,0.95,0.93,p_b,4.15,2.01,2.76,-2.61,3.80,1.87,316.5,rear_right,lunge_or_recover,detected,0.91,0.88
9.40,282,1,p_a,3.12,9.52,-0.56,-0.99,1.14,0.31,240.3,mid_center,move,detected,0.95,0.93,p_b,4.41,1.75,2.68,-2.54,3.70,1.01,316.5,rear_right,lunge_or_recover,detected,0.91,0.88
9.50,285,1,p_a,3.07,9.43,-0.51,-0.88,1.02,1.20,240.3,mid_center,move,detected,0.95,0.93,p_b,4.66,1.53,2.40,-2.27,3.31,3.88,316.5,rear_right,lunge_or_recover,detected,0.91,0.88
9.60,288,1,p_a,3.03,9.36,-0.40,-0.70,0.81,2.08,240.3,mid_center,move,detected,0.95,0.93,p_b,4.85,1.35,1.91,-1.81,2.63,6.75,316.5,rear_right,move,detected,0.91,0.88
9.70,291,1,p_a,3.01,9.31,-0.26,-0.45,0.51,2.97,240.3,mid_center,move,detected,0.95,0.93,p_b,4.97,1.23,1.21,-1.15,1.67,9.63,316.5,rear_right,move,detected,0.91,0.88
9.80,294,1,p_a,3.00,9.29,-0.07,-0.19,0.20,3.17,250.1,mid_center,ready,detected,0.95,0.93,p_b,4.99,1.21,0.26,-0.24,0.35,13.19,317.0,rear_right,stroke,detected,0.91,0.88
9.90,297,1,p_a,3.00,9.13,0.00,-1.63,1.63,14.46,270.0,mid_center,move,detected,0.95,0.93,p_b,4.83,1.37,-1.63,1.63,2.31,26.61,135.0,rear_right,move,detected,0.91,0.88
10.00,300,1,p_a,3.00,9.00,0.00,-1.30,1.30,3.38,270.0,mid_center,move,detected,0.95,0.93,p_b,4.70,1.50,-1.30,1.30,1.83,4.78,135.0,rear_right,move,detected,0.91,0.88
