time_sec,source_frame_30fps,rally_id,shot_id,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,speed_mps,speed_kmh,trajectory_phase,last_hitter,tracking_status,confidence
0.867,26,1,2,2.896,6.259,1.420,5.664,18.021,2.507,19.056,68.6,post_contact,player_b,detected,0.89
0.900,27,1,2,3.068,6.807,1.501,5.167,16.440,2.410,17.400,62.6,lower_half,player_b,detected,0.89
0.933,28,1,2,3.225,7.307,1.578,4.713,14.997,2.313,15.890,57.2,lower_half,player_b,detected,0.89
0.967,29,1,2,3.368,7.763,1.652,4.300,13.681,2.216,14.511,52.2,lower_half,player_b,detected,0.89
1.000,30,1,2,3.499,8.179,1.722,3.923,12.481,2.119,13.253,47.7,lower_half,player_b,detected,0.89
1.033,31,1,2,3.618,8.559,1.790,3.578,11.386,2.021,12.105,43.6,lower_half,player_b,detected,0.89
1.067,32,1,2,3.727,8.905,1.854,3.264,10.387,1.924,11.056,39.8,lower_half,player_b,detected,0.89
1.100,33,1,2,3.827,9.221,1.915,2.978,9.475,1.827,10.099,36.4,lower_half,player_b,detected,0.89
1.133,34,1,2,3.917,9.509,1.972,2.717,8.644,1.730,9.224,33.2,lower_half,player_b,detected,0.89
1.167,35,1,2,4.000,9.772,2.027,2.478,7.885,1.633,8.425,30.3,lower_half,player_b,detected,0.89
1.200,36,1,2,4.075,10.011,2.078,2.261,7.193,1.535,7.695,27.7,lower_half,player_b,detected,0.89
1.233,37,1,2,4.144,10.230,2.126,2.062,6.562,1.438,7.027,25.3,lower_half,player_b,detected,0.89
1.267,38,1,2,4.206,10.430,2.171,1.881,5.986,1.341,6.417,23.1,lower_half,player_b,detected,0.89
1.300,39,1,2,4.264,10.612,2.212,1.716,5.461,1.244,5.858,21.1,lower_half,player_b,detected,0.89
1.333,40,1,2,4.316,10.778,2.250,1.566,4.982,1.147,5.347,19.2,lower_half,player_b,detected,0.89
1.367,41,1,2,4.364,10.929,2.285,1.428,4.545,1.050,4.878,17.6,lower_half,player_b,detected,0.89
1.400,42,1,2,4.407,11.068,2.317,1.303,4.146,0.952,4.449,16.0,lower_half,player_b,detected,0.89
1.433,43,1,2,4.447,11.194,2.346,1.189,3.782,0.855,4.056,14.6,lower_half,player_b,detected,0.89
1.467,44,1,2,4.483,11.309,2.371,1.084,3.450,0.758,3.695,13.3,lower_half,player_b,detected,0.89
1.500,45,1,2,4.516,11.414,2.393,0.989,3.148,0.661,3.365,12.1,lower_half,player_b,detected,0.89
1.533,46,1,2,4.546,11.509,2.412,0.902,2.871,0.564,3.062,11.0,lower_half,player_b,detected,0.89
1.567,47,1,2,4.573,11.597,2.427,0.823,2.619,0.466,2.785,10.0,lower_half,player_b,detected,0.89
1.600,48,1,2,4.598,11.676,2.440,0.751,2.390,0.369,2.532,9.1,lower_half,player_b,detected,0.89
1.633,49,1,2,4.621,11.749,2.449,0.685,2.180,0.272,2.301,8.3,lower_half,player_b,detected,0.89
1.667,50,1,2,4.642,11.815,2.454,0.625,1.989,0.175,2.092,7.5,lower_half,player_b,detected,0.89
1.700,51,1,2,4.661,11.876,2.457,0.570,1.814,0.078,1.903,6.9,approach_receiver,player_b,detected,0.89
1.733,52,1,2,4.678,11.931,2.456,0.520,1.655,-0.019,1.735,6.2,approach_receiver,player_b,detected,0.89
1.767,53,1,2,4.694,11.981,2.452,0.474,1.510,-0.117,1.587,5.7,approach_receiver,player_b,detected,0.89
1.800,54,1,3,4.540,11.475,2.830,-4.619,-15.174,11.336,19.496,70.2,post_contact,player_a,detected,0.89
1.833,55,1,3,4.289,10.653,3.430,-7.520,-24.676,17.992,31.451,113.2,post_contact,player_a,detected,0.89
1.867,56,1,3,4.057,9.891,3.987,-6.965,-22.855,16.712,29.158,105.0,lower_half,player_a,detected,0.89
1.900,57,1,3,3.842,9.185,4.502,-6.451,-21.168,15.432,26.979,97.1,lower_half,player_a,detected,0.89
1.933,58,1,3,3.643,8.532,4.973,-5.975,-19.606,14.152,24.908,89.7,lower_half,player_a,detected,0.89
1.967,59,1,3,3.459,7.926,5.402,-5.534,-18.159,12.872,22.936,82.6,lower_half,player_a,detected,0.89
2.000,60,1,3,3.288,7.366,5.789,-5.126,-16.819,11.592,21.060,75.8,lower_half,player_a,detected,0.89
2.033,61,1,3,3.129,6.847,6.132,-4.748,-15.578,10.312,19.275,69.4,lower_half,player_a,detected,0.89
2.067,62,1,3,2.983,6.366,6.434,-4.397,-14.428,9.032,17.581,63.3,upper_half,player_a,detected,0.89
2.100,63,1,3,2.847,5.920,6.692,-4.073,-13.363,7.752,15.977,57.5,upper_half,player_a,detected,0.89
2.133,64,1,3,2.721,5.508,6.908,-3.772,-12.377,6.472,14.467,52.1,upper_half,player_a,detected,0.89
2.167,65,1,3,2.605,5.126,7.081,-3.494,-11.464,5.192,13.061,47.0,upper_half,player_a,detected,0.89
2.200,66,1,3,2.497,4.772,7.211,-3.236,-10.618,3.912,11.769,42.4,upper_half,player_a,detected,0.89
2.233,67,1,3,2.397,4.444,7.299,-2.997,-9.834,2.632,10.612,38.2,upper_half,player_a,detected,0.89
2.267,68,1,3,2.305,4.140,7.344,-2.776,-9.108,1.352,9.617,34.6,upper_half,player_a,detected,0.89
2.300,69,1,3,2.219,3.859,7.346,-2.571,-8.436,0.072,8.819,31.7,upper_half,player_a,detected,0.89
2.333,70,1,3,2.140,3.599,7.306,-2.381,-7.813,-1.208,8.257,29.7,upper_half,player_a,detected,0.89
2.367,71,1,3,2.066,3.357,7.223,-2.205,-7.237,-2.488,7.964,28.7,upper_half,player_a,detected,0.89
2.400,72,1,3,1.998,3.134,7.098,-2.043,-6.703,-3.768,7.956,28.6,upper_half,player_a,detected,0.89
2.433,73,1,3,1.935,2.927,6.929,-1.892,-6.208,-5.048,8.222,29.6,upper_half,player_a,detected,0.89
2.467,74,1,3,1.876,2.735,6.718,-1.752,-5.750,-6.328,8.728,31.4,upper_half,player_a,detected,0.89
2.500,75,1,3,1.822,2.558,6.465,-1.623,-5.326,-7.608,9.427,33.9,upper_half,player_a,detected,0.89
2.533,76,1,3,1.772,2.393,6.168,-1.503,-4.932,-8.888,10.275,37.0,upper_half,player_a,detected,0.89
2.567,77,1,3,1.726,2.241,5.830,-1.392,-4.568,-10.168,11.234,40.4,upper_half,player_a,detected,0.89
2.600,78,1,3,1.683,2.100,5.448,-1.290,-4.231,-11.448,12.273,44.2,upper_half,player_a,detected,0.89
2.633,79,1,3,1.643,1.969,5.024,-1.194,-3.919,-12.728,13.371,48.1,upper_half,player_a,detected,0.89
2.667,80,1,3,1.606,1.848,4.557,-1.106,-3.630,-14.008,14.513,52.2,upper_half,player_a,detected,0.89
2.700,81,1,3,1.572,1.736,4.047,-1.025,-3.362,-15.288,15.687,56.5,approach_receiver,player_a,detected,0.89
2.733,82,1,3,1.540,1.633,3.495,-0.949,-3.114,-16.568,16.885,60.8,approach_receiver,player_a,detected,0.89
2.767,83,1,3,1.511,1.536,2.900,-0.879,-2.884,-17.848,18.101,65.2,approach_receiver,player_a,detected,0.89
2.800,84,1,4,1.711,1.984,2.742,5.992,13.432,-4.749,15.455,55.6,post_contact,player_b,detected,0.89
2.833,85,1,4,2.028,2.712,2.879,9.512,21.841,4.131,24.178,87.0,post_contact,player_b,detected,0.89
2.867,86,1,4,2.307,3.352,2.998,8.359,19.195,3.569,21.238,76.5,upper_half,player_b,detected,0.89
2.900,87,1,4,2.551,3.914,3.099,7.346,16.869,3.006,18.643,67.1,upper_half,player_b,detected,0.89
2.933,88,1,4,2.767,4.408,3.180,6.456,14.825,2.444,16.353,58.9,upper_half,player_b,detected,0.89
2.967,89,1,4,2.956,4.843,3.243,5.674,13.028,1.881,14.334,51.6,upper_half,player_b,detected,0.89
3.000,90,1,4,3.122,5.224,3.287,4.986,11.450,1.319,12.558,45.2,upper_half,player_b,detected,0.89
3.033,91,1,4,3.268,5.560,3.312,4.382,10.062,0.756,11.001,39.6,upper_half,player_b,detected,0.89
3.067,92,1,4,3.396,5.855,3.318,3.851,8.843,0.194,9.647,34.7,upper_half,player_b,detected,0.89
3.100,93,1,4,3.509,6.114,3.306,3.384,7.772,-0.369,8.485,30.5,upper_half,player_b,detected,0.89
3.133,94,1,4,3.608,6.341,3.275,2.974,6.830,-0.931,7.507,27.0,upper_half,player_b,detected,0.89
3.167,95,1,4,3.695,6.541,3.225,2.614,6.002,-1.494,6.715,24.2,upper_half,player_b,detected,0.89
3.200,96,1,4,3.772,6.717,3.157,2.297,5.275,-2.056,6.110,22.0,lower_half,player_b,detected,0.89
3.233,97,1,4,3.839,6.872,3.069,2.019,4.636,-2.619,5.694,20.5,lower_half,player_b,detected,0.89
3.267,98,1,4,3.898,7.008,2.963,1.774,4.074,-3.181,5.465,19.7,lower_half,player_b,detected,0.89
3.300,99,1,4,3.950,7.127,2.839,1.559,3.580,-3.744,5.410,19.5,lower_half,player_b,detected,0.89
3.333,100,1,4,3.996,7.232,2.695,1.370,3.147,-4.306,5.507,19.8,lower_half,player_b,detected,0.89
3.367,101,1,4,4.036,7.324,2.533,1.204,2.765,-4.869,5.727,20.6,lower_half,player_b,detected,0.89
3.400,102,1,4,4.072,7.405,2.352,1.058,2.430,-5.431,6.044,21.8,lower_half,player_b,detected,0.89
3.433,103,1,4,4.103,7.476,2.152,0.930,2.136,-5.994,6.431,23.1,lower_half,player_b,detected,0.89
3.467,104,1,4,4.130,7.539,1.933,0.817,1.877,-6.556,6.868,24.7,lower_half,player_b,detected,0.89
3.500,105,1,4,4.154,7.594,1.696,0.718,1.649,-7.119,7.343,26.4,lower_half,player_b,detected,0.89
3.533,106,1,4,4.175,7.642,1.440,0.631,1.450,-7.681,7.842,28.2,approach_receiver,player_b,detected,0.89
3.567,107,1,4,4.193,7.684,1.165,0.555,1.274,-8.244,8.360,30.1,approach_receiver,player_b,detected,0.89
3.600,108,1,5,4.226,7.431,1.447,0.996,-7.604,8.452,11.413,41.1,post_contact,player_a,detected,0.89
3.633,109,1,5,4.268,7.006,2.078,1.254,-12.752,18.945,22.872,82.3,post_contact,player_a,detected,0.89
3.667,110,1,5,4.307,6.608,2.672,1.173,-11.930,17.821,21.478,77.3,post_contact,player_a,detected,0.89
3.700,111,1,5,4.344,6.236,3.229,1.098,-11.161,16.698,20.114,72.4,upper_half,player_a,detected,0.89
3.733,112,1,5,4.378,5.888,3.748,1.027,-10.441,15.574,18.778,67.6,upper_half,player_a,detected,0.89
3.767,113,1,5,4.410,5.563,4.230,0.961,-9.767,14.450,17.468,62.9,upper_half,player_a,detected,0.89
3.800,114,1,5,4.440,5.258,4.674,0.899,-9.138,13.326,16.183,58.3,upper_half,player_a,detected,0.89
3.833,115,1,5,4.468,4.973,5.081,0.841,-8.548,12.202,14.922,53.7,upper_half,player_a,detected,0.89
3.867,116,1,5,4.494,4.707,5.450,0.787,-7.997,11.078,13.685,49.3,upper_half,player_a,detected,0.89
3.900,117,1,5,4.519,4.457,5.782,0.736,-7.481,9.954,12.473,44.9,upper_half,player_a,detected,0.89
3.933,118,1,5,4.542,4.224,6.076,0.688,-6.999,8.830,11.288,40.6,upper_half,player_a,detected,0.89
3.967,119,1,5,4.563,4.006,6.333,0.644,-6.547,7.706,10.132,36.5,upper_half,player_a,detected,0.89
4.000,120,1,5,4.583,3.801,6.552,0.602,-6.125,6.582,9.011,32.4,upper_half,player_a,detected,0.89
4.033,121,1,5,4.602,3.610,6.734,0.564,-5.730,5.458,7.933,28.6,upper_half,player_a,detected,0.89
4.067,122,1,5,4.620,3.432,6.879,0.527,-5.361,4.334,6.913,24.9,upper_half,player_a,detected,0.89
4.100,123,1,5,4.636,3.265,6.986,0.493,-5.015,3.210,5.975,21.5,upper_half,player_a,detected,0.89
4.133,124,1,5,4.652,3.108,7.055,0.461,-4.691,2.086,5.155,18.6,upper_half,player_a,detected,0.89
4.167,125,1,5,4.666,2.962,7.087,0.432,-4.389,0.962,4.514,16.2,upper_half,player_a,detected,0.89
4.200,126,1,5,4.679,2.825,7.082,0.404,-4.106,-0.162,4.129,14.9,upper_half,player_a,predicted,0.66
4.233,127,1,5,4.692,2.697,7.039,0.378,-3.841,-1.286,4.068,14.6,upper_half,player_a,predicted,0.66
4.267,128,1,5,4.704,2.577,6.959,0.353,-3.593,-2.410,4.341,15.6,upper_half,player_a,predicted,0.66
4.300,129,1,5,4.715,2.465,6.841,0.331,-3.362,-3.534,4.888,17.6,upper_half,player_a,detected,0.89
4.333,130,1,5,4.725,2.360,6.686,0.309,-3.145,-4.658,5.629,20.3,upper_half,player_a,detected,0.89
4.367,131,1,5,4.735,2.262,6.493,0.289,-2.942,-5.782,6.494,23.4,upper_half,player_a,detected,0.89
4.400,132,1,5,4.744,2.171,6.263,0.271,-2.752,-6.906,7.439,26.8,upper_half,player_a,detected,0.89
4.433,133,1,5,4.752,2.085,5.995,0.253,-2.575,-8.030,8.436,30.4,upper_half,player_a,detected,0.89
4.467,134,1,5,4.760,2.004,5.690,0.237,-2.409,-9.154,9.468,34.1,upper_half,player_a,detected,0.89
4.500,135,1,5,4.768,1.929,5.347,0.222,-2.253,-10.278,10.524,37.9,upper_half,player_a,detected,0.89
4.533,136,1,5,4.775,1.859,4.967,0.207,-2.108,-11.402,11.597,41.7,upper_half,player_a,detected,0.89
4.567,137,1,5,4.781,1.793,4.550,0.194,-1.972,-12.526,12.681,45.7,upper_half,player_a,detected,0.89
4.600,138,1,5,4.787,1.732,4.095,0.181,-1.845,-13.650,13.775,49.6,approach_receiver,player_a,detected,0.89
4.633,139,1,5,4.793,1.674,3.602,0.170,-1.726,-14.774,14.875,53.5,approach_receiver,player_a,detected,0.89
4.667,140,1,5,4.798,1.621,3.072,0.159,-1.615,-15.898,15.980,57.5,approach_receiver,player_a,detected,0.89
4.700,141,1,6,4.388,2.603,2.826,-12.288,29.484,-7.382,32.785,118.0,post_contact,player_b,detected,0.89
4.733,142,1,6,3.815,4.001,2.782,-17.204,41.934,-1.320,45.345,163.2,upper_half,player_b,detected,0.89
4.767,143,1,6,3.357,5.116,2.733,-13.726,33.458,-1.493,36.195,130.3,upper_half,player_b,detected,0.89
4.800,144,1,6,2.992,6.006,2.677,-10.952,26.695,-1.667,28.902,104.0,upper_half,player_b,detected,0.89
4.833,145,1,6,2.701,6.716,2.616,-8.738,21.299,-1.840,23.095,83.1,lower_half,player_b,detected,0.89
4.867,146,1,6,2.469,7.283,2.549,-6.972,16.994,-2.014,18.479,66.5,lower_half,player_b,detected,0.89
4.900,147,1,6,2.283,7.735,2.476,-5.563,13.559,-2.187,14.818,53.3,lower_half,player_b,detected,0.89
4.933,148,1,6,2.135,8.095,2.397,-4.438,10.818,-2.360,11.929,42.9,lower_half,player_b,detected,0.89
4.967,149,1,6,2.017,8.383,2.313,-3.541,8.632,-2.534,9.668,34.8,lower_half,player_b,detected,0.89
5.000,150,1,6,1.923,8.613,2.222,-2.825,6.887,-2.707,7.921,28.5,lower_half,player_b,detected,0.89
5.033,151,1,6,1.848,8.796,2.126,-2.254,5.495,-2.881,6.601,23.8,lower_half,player_b,detected,0.89
5.067,152,1,6,1.788,8.942,2.024,-1.799,4.384,-3.054,5.638,20.3,lower_half,player_b,detected,0.89
5.100,153,1,6,1.740,9.058,1.917,-1.435,3.498,-3.228,4.971,17.9,lower_half,player_b,detected,0.89
5.133,154,1,6,1.702,9.152,1.804,-1.145,2.791,-3.401,4.546,16.4,lower_half,player_b,detected,0.89
5.167,155,1,6,1.671,9.226,1.684,-0.914,2.227,-3.574,4.309,15.5,lower_half,player_b,detected,0.89
5.200,156,1,6,1.647,9.285,1.559,-0.729,1.777,-3.748,4.211,15.2,lower_half,player_b,detected,0.89
5.233,157,1,6,1.628,9.332,1.429,-0.582,1.418,-3.921,4.210,15.2,lower_half,player_b,detected,0.89
5.267,158,1,6,1.612,9.370,1.292,-0.464,1.131,-4.095,4.273,15.4,approach_receiver,player_b,detected,0.89
5.300,159,1,7,1.600,9.400,1.150,-0.370,0.902,-4.268,4.378,15.8,post_contact,player_a,detected,0.89
5.333,160,1,7,1.658,8.796,1.203,1.727,-18.134,1.605,18.287,65.8,post_contact,player_a,detected,0.89
5.367,161,1,7,1.707,8.274,1.251,1.491,-15.654,1.432,15.790,56.8,lower_half,player_a,detected,0.89
5.400,162,1,7,1.750,7.823,1.293,1.287,-13.513,1.259,13.633,49.1,lower_half,player_a,detected,0.89
5.433,163,1,7,1.787,7.434,1.329,1.111,-11.665,1.086,11.768,42.4,lower_half,player_a,detected,0.89
5.467,164,1,7,1.819,7.099,1.360,0.959,-10.070,0.913,10.157,36.6,lower_half,player_a,detected,0.89
5.500,165,1,7,1.847,6.809,1.384,0.828,-8.693,0.740,8.763,31.5,lower_half,player_a,detected,0.89
5.533,166,1,7,1.871,6.559,1.403,0.715,-7.504,0.567,7.559,27.2,upper_half,player_a,detected,0.89
5.567,167,1,7,1.891,6.343,1.416,0.617,-6.478,0.394,6.519,23.5,upper_half,player_a,predicted,0.66
5.600,168,1,7,1.909,6.157,1.424,0.533,-5.592,0.221,5.622,20.2,upper_half,player_a,predicted,0.66
5.633,169,1,7,1.924,5.996,1.425,0.460,-4.827,0.048,4.849,17.5,upper_half,player_a,detected,0.89
5.667,170,1,7,1.937,5.857,1.421,0.397,-4.167,-0.125,4.188,15.1,upper_half,player_a,detected,0.89
5.700,171,1,7,1.949,5.737,1.411,0.343,-3.597,-0.298,3.626,13.1,upper_half,player_a,detected,0.89
5.733,172,1,7,1.959,5.633,1.396,0.296,-3.105,-0.471,3.155,11.4,upper_half,player_a,detected,0.89
5.767,173,1,7,1.967,5.544,1.374,0.255,-2.681,-0.644,2.769,10.0,upper_half,player_a,detected,0.89
5.800,174,1,7,1.975,5.467,1.347,0.220,-2.314,-0.817,2.464,8.9,upper_half,player_a,detected,0.89
5.833,175,1,7,1.981,5.400,1.314,0.190,-1.998,-0.990,2.238,8.1,upper_half,player_a,detected,0.89
5.867,176,1,7,1.986,5.343,1.275,0.164,-1.724,-1.163,2.087,7.5,upper_half,player_a,detected,0.89
5.900,177,1,7,1.991,5.293,1.230,0.142,-1.489,-1.337,2.006,7.2,upper_half,player_a,detected,0.89
5.933,178,1,7,1.995,5.250,1.180,0.122,-1.285,-1.510,1.986,7.2,approach_receiver,player_a,detected,0.89
5.967,179,1,7,1.999,5.213,1.124,0.106,-1.109,-1.683,2.018,7.3,approach_receiver,player_a,detected,0.89
6.000,180,1,8,2.124,5.490,1.505,3.752,8.309,11.423,14.615,52.6,post_contact,player_b,detected,0.89
6.033,181,1,8,2.320,5.950,2.148,5.883,13.796,19.306,24.447,88.0,post_contact,player_b,detected,0.89
6.067,182,1,8,2.504,6.382,2.753,5.521,12.945,18.138,22.957,82.6,post_contact,player_b,detected,0.89
6.100,183,1,8,2.677,6.787,3.319,5.180,12.147,16.970,21.503,77.4,lower_half,player_b,detected,0.89
6.133,184,1,8,2.839,7.166,3.845,4.861,11.398,15.802,20.081,72.3,lower_half,player_b,detected,0.89
6.167,185,1,8,2.991,7.523,4.333,4.561,10.695,14.634,18.691,67.3,lower_half,player_b,detected,0.89
6.200,186,1,8,3.133,7.858,4.782,4.280,10.036,13.466,17.331,62.4,lower_half,player_b,detected,0.89
6.233,187,1,8,3.267,8.171,5.192,4.016,9.417,12.298,16.001,57.6,lower_half,player_b,detected,0.89
6.267,188,1,8,3.393,8.466,5.563,3.769,8.837,11.130,14.702,52.9,lower_half,player_b,detected,0.89
6.300,189,1,8,3.511,8.742,5.895,3.536,8.292,9.962,13.435,48.4,lower_half,player_b,detected,0.89
6.333,190,1,8,3.621,9.002,6.188,3.318,7.780,8.794,12.201,43.9,lower_half,player_b,detected,0.89
6.367,191,1,8,3.725,9.245,6.442,3.114,7.301,7.626,11.007,39.6,lower_half,player_b,detected,0.89
6.400,192,1,8,3.822,9.473,6.658,2.922,6.851,6.458,9.857,35.5,lower_half,player_b,detected,0.89
6.433,193,1,8,3.914,9.688,6.834,2.741,6.428,5.290,8.765,31.6,lower_half,player_b,detected,0.89
6.467,194,1,8,4.000,9.889,6.971,2.572,6.032,4.121,7.745,27.9,lower_half,player_b,detected,0.89
6.500,195,1,8,4.080,10.077,7.070,2.414,5.660,2.953,6.825,24.6,lower_half,player_b,detected,0.89
6.533,196,1,8,4.156,10.254,7.129,2.265,5.311,1.785,6.044,21.8,lower_half,player_b,detected,0.89
6.567,197,1,8,4.226,10.421,7.150,2.125,4.984,0.617,5.453,19.6,lower_half,player_b,detected,0.89
6.600,198,1,8,4.293,10.576,7.131,1.994,4.676,-0.551,5.114,18.4,lower_half,player_b,detected,0.89
6.633,199,1,8,4.355,10.723,7.074,1.871,4.388,-1.719,5.071,18.3,lower_half,player_b,detected,0.89
6.667,200,1,8,4.414,10.860,6.978,1.756,4.118,-2.887,5.326,19.2,lower_half,player_b,detected,0.89
6.700,201,1,8,4.469,10.989,6.843,1.648,3.864,-4.055,5.838,21.0,lower_half,player_b,detected,0.89
6.733,202,1,8,4.520,11.110,6.669,1.546,3.625,-5.223,6.543,23.6,lower_half,player_b,detected,0.89
6.767,203,1,8,4.569,11.223,6.456,1.451,3.402,-6.391,7.384,26.6,lower_half,player_b,detected,0.89
6.800,204,1,8,4.614,11.329,6.204,1.361,3.192,-7.559,8.318,29.9,lower_half,player_b,detected,0.89
6.833,205,1,8,4.657,11.429,5.913,1.277,2.995,-8.727,9.315,33.5,lower_half,player_b,predicted,0.66
6.867,206,1,8,4.697,11.523,5.583,1.199,2.811,-9.895,10.356,37.3,lower_half,player_b,predicted,0.66
6.900,207,1,8,4.734,11.611,5.214,1.125,2.637,-11.063,11.429,41.1,lower_half,player_b,predicted,0.66
6.933,208,1,8,4.769,11.693,4.806,1.055,2.475,-12.231,12.524,45.1,lower_half,player_b,detected,0.89
6.967,209,1,8,4.802,11.771,4.360,0.990,2.322,-13.399,13.635,49.1,lower_half,player_b,detected,0.89
7.000,210,1,8,4.833,11.843,3.874,0.929,2.179,-14.567,14.759,53.1,approach_receiver,player_b,detected,0.89
7.033,211,1,8,4.862,11.912,3.350,0.872,2.045,-15.735,15.891,57.2,approach_receiver,player_b,detected,0.89
7.067,212,1,8,4.890,11.976,2.786,0.818,1.919,-16.903,17.032,61.3,approach_receiver,player_b,detected,0.89
7.100,213,1,9,4.699,11.425,2.872,-5.708,-16.516,2.562,17.661,63.6,post_contact,player_a,detected,0.89
7.133,214,1,9,4.387,10.531,3.380,-9.366,-26.831,15.255,32.255,116.1,post_contact,player_a,detected,0.89
7.167,215,1,9,4.101,9.710,3.854,-8.589,-24.607,14.220,29.690,106.9,lower_half,player_a,detected,0.89
7.200,216,1,9,3.838,8.958,4.294,-7.877,-22.567,13.184,27.297,98.3,lower_half,player_a,detected,0.89
7.233,217,1,9,3.597,8.268,4.699,-7.224,-20.696,12.149,25.062,90.2,lower_half,player_a,detected,0.89
7.267,218,1,9,3.377,7.636,5.069,-6.625,-18.981,11.113,22.971,82.7,lower_half,player_a,detected,0.89
7.300,219,1,9,3.174,7.055,5.405,-6.076,-17.407,10.078,21.012,75.6,lower_half,player_a,detected,0.89
7.333,220,1,9,2.988,6.523,5.706,-5.572,-15.964,9.042,19.175,69.0,upper_half,player_a,detected,0.89
7.367,221,1,9,2.818,6.035,5.973,-5.110,-14.641,8.007,17.452,62.8,upper_half,player_a,detected,0.89
7.400,222,1,9,2.662,5.588,6.206,-4.687,-13.427,6.971,15.838,57.0,upper_half,player_a,detected,0.89
7.433,223,1,9,2.518,5.177,6.403,-4.298,-12.314,5.936,14.330,51.6,upper_half,player_a,detected,0.89
7.467,224,1,9,2.387,4.801,6.567,-3.942,-11.293,4.900,12.926,46.5,upper_half,player_a,detected,0.89
7.500,225,1,9,2.267,4.455,6.696,-3.615,-10.357,3.865,11.631,41.9,upper_half,player_a,detected,0.89
7.533,226,1,9,2.156,4.139,6.790,-3.315,-9.498,2.829,10.451,37.6,upper_half,player_a,detected,0.89
7.567,227,1,9,2.055,3.849,6.850,-3.041,-8.711,1.794,9.399,33.8,upper_half,player_a,detected,0.89
7.600,228,1,9,1.962,3.582,6.875,-2.789,-7.989,0.758,8.495,30.6,upper_half,player_a,detected,0.89
7.633,229,1,9,1.876,3.338,6.866,-2.557,-7.327,-0.277,7.765,28.0,upper_half,player_a,detected,0.89
7.667,230,1,9,1.798,3.114,6.822,-2.345,-6.719,-1.313,7.237,26.1,upper_half,player_a,detected,0.89
